ComplexName,AmenityID,AmenityName
Windhaven Park,9,In Unit Washer & Dryer
Windhaven Park,10,Walk-In Closets
Jada Legacy Central,1,Dog & Cat Friendly
Jada Legacy Central,2,Fitness Center
Jada Legacy Central,3,Pool
Jada Legacy Central,15,Refrigerator
Jada Legacy Central,16,Kitchen
Jada Legacy Central,9,In Unit Washer & Dryer
Jada Legacy Central,10,Walk-In Closets
Jada Legacy Central,19,Clubhouse
Opal Legacy Central,1,Dog & Cat Friendly
Opal Legacy Central,2,Fitness Center
Opal Legacy Central,3,Pool
Opal Legacy Central,15,Refrigerator
Opal Legacy Central,16,Kitchen
Opal Legacy Central,9,In Unit Washer & Dryer
Opal Legacy Central,10,Walk-In Closets
Opal Legacy Central,19,Clubhouse
Opal Legacy Central,25,Range
The Gio Apartments,1,Dog & Cat Friendly
The Gio Apartments,2,Fitness Center
The Gio Apartments,3,Pool
The Gio Apartments,15,Refrigerator
The Gio Apartments,16,Kitchen
The Gio Apartments,9,In Unit Washer & Dryer
The Gio Apartments,10,Walk-In Closets
The Gio Apartments,19,Clubhouse
Legacy Village Apartment Homes,1,Dog & Cat Friendly
Legacy Village Apartment Homes,2,Fitness Center
Legacy Village Apartment Homes,3,Pool
Legacy Village Apartment Homes,14,Dishwasher
Legacy Village Apartment Homes,15,Refrigerator
Legacy Village Apartment Homes,16,Kitchen
Legacy Village Apartment Homes,9,In Unit Washer & Dryer
Legacy Village Apartment Homes,10,Walk-In Closets
1201 Park,1,Dog & Cat Friendly
1201 Park,2,Fitness Center
1201 Park,3,Pool
1201 Park,27,Granite Countertops
Gala at Premier,1,Dog & Cat Friendly
Gala at Premier,2,Fitness Center
Gala at Premier,19,Clubhouse
Gala at Premier,6,Elevator
Gala at Premier,35,Laundry Facilities
Gala at Premier,7,Washer & Dryer Hookups
AMLI Frisco Crossing,1,Dog & Cat Friendly
AMLI Frisco Crossing,2,Fitness Center
AMLI Frisco Crossing,3,Pool
AMLI Frisco Crossing,14,Dishwasher
AMLI Frisco Crossing,15,Refrigerator
AMLI Frisco Crossing,16,Kitchen
